Provinsi,2017,2018,2019,
ACEH,68.50,70.80,71.20,
SUMATERA UTARA,67.40,71.00,72.30,
SUMATERA BARAT,18.00,18.50,17.80,
RIAU,2.90,3.00,3.00,
JAMBI,14.30,15.50,16.60,
SUMATERA SELATAN,184.00,193.50,196.00,
BENGKULU,58.90,60.30,58.50,
LAMPUNG,107.20,110.60,110.30,
KEP. BANGKA BELITUNG,0.00,0.00,0.00,
KEP. RIAU,0.00,110.60,0.00,
DKI JAKARTA,0.00,0.00,0.00,
JAWA BARAT,16.80,21.10,20.10,
JAWA TENGAH,15.70,23.70,24.10,
DI YOGYAKARTA,0.40,0.50,0.50,
JAWA TIMUR,64.80,64.50,66.70,
BANTEN,2.60,2.60,2.60,
BALI,13.60,15.20,15.30,
NUSA TENGGARA BARAT,4.90,5.10,6.60,
NUSA TENGGARA TIMUR,21.40,23.70,23.80,
KALIMANTAN BARAT,3.70,3.60,3.60,
KALIMANTAN TENGAH,0.40,0.40,0.40,
KALIMANTAN SELATAN,1.60,1.50,1.40,
KALIMANTAN TIMUR,0.30,0.30,0.30,
KALIMANTAN UTARA,0.20,0.20,0.20,
SULAWESI UTARA,3.50,3.90,3.70,
SULAWESI TENGAH,2.70,2.80,2.90,
SULAWESI SELATAN,33.10,34.70,33.40,
SULAWESI TENGGARA,2.70,2.50,2.70,
GORONTALO,0.20,0.20,0.20,
SULAWESI BARAT,3.30,3.20,3.70,
MALUKU,0.40,0.40,0.40,
MALUKU UTARA,0.10,0.00,0.00,
PAPUA BARAT,0.00,0.00,0.00,
PAPUA,2.50,2.70,2.80,
INDONESIA,716.10,866.60,761.10,
